"danish","swedish","pos","example_da","example_sv","note","deck","cefr","tags","audio","audio_example"
"sky","moln / köttsky, gelé / blyg","other","Der er ikke en sky på himlen, og kødet ligger i sin egen sky.","Det finns inte ett moln på himlen, och köttet ligger i sin egen sky.","Falsk vän: 'sky' (en-ord: 'en sky') = moln ELLER klar köttsky/gelé, och som adjektiv = blyg. Det är INTE det vanliga ordet för sås (= 'sovs'). Svensk 'himmel' = 'himmel'.","falske-venner-b2","b2","falsk-ven|asymmetrisk","audio/da-1f16c439ed8b20.mp3","audio/da-1f16c439ed8b20-ex.mp3"
"semester","termin (akademisk)","noun","Det nye semester starter i september.","Den nya terminen börjar i september.","Et-ord: 'et semester'. FALSK VÄN: danska 'semester' = akademisk termin, INTE ledighet. Svensk semester (= ledighet) heter på danska 'ferie'.","falske-venner-b2","b1","falsk-ven|omvänd","audio/da-1f31adc72dec4e.mp3","audio/da-1f31adc72dec4e-ex.mp3"
"anledning","orsak, anledning","noun","Der er ingen anledning til at blive vred.","Det finns ingen anledning att bli arg.","En-ord: 'en anledning'. Asymmetrisk: betyder främst orsak/anledning samt 'tillfälle' i bemärkelsen 'i anledning af' (= med anledning av). Konkret tillfälle/möjlighet heter 'lejlighed'.","falske-venner-b2","b2","falsk-ven|asymmetrisk","audio/da-1f04797e4fa106.mp3","audio/da-1f04797e4fa106-ex.mp3"
"flink","vänlig, snäll","adj","Tak, det var flinkt af dig.","Tack, det var snällt av dig.","FALSK VÄN: danska 'flink' = vänlig/snäll, INTE snabb/händig. Svensk 'flink' (= snabb/händig) heter på danska 'hurtig' eller 'dygtig'.","falske-venner-b2","b1","falsk-ven|asymmetrisk","audio/da-025a00ecf9e0e0.mp3","audio/da-025a00ecf9e0e0-ex.mp3"
"rar","snäll, vänlig (om person)","adj","Hun er en rar og venlig kvinde.","Hon är en snäll och vänlig kvinna.","FALSK VÄN: danska 'rar' = snäll/vänlig om en person, INTE söt/näpen. Svensk 'rar' (= söt/näpen) heter på danska 'sød' eller 'nuttet'.","falske-venner-b2","b1","falsk-ven|asymmetrisk","audio/da-069384befd5dcf.mp3","audio/da-069384befd5dcf-ex.mp3"
"sød","söt, gullig / snäll","adj","Hvor er den hund sød!","Vad söt den hunden är!","Adjektiv. Täcker både söt/gullig och snäll. Det här är ordet för svensk 'söt/rar'. Jämför 'rar' = snäll (inte söt) och 'nuttet' = gullig.","falske-venner-b2","b1","falsk-ven|asymmetrisk","audio/da-0773cf05c27398.mp3","audio/da-0773cf05c27398-ex.mp3"
"hurtig","snabb","adj","Han er en hurtig løber.","Han är en snabb löpare.","Adjektiv. Det här är ordet för svensk 'snabb/flink'. Jämför falsk vän 'flink' = vänlig (inte snabb). Adv. 'hurtigt' = snabbt.","falske-venner-b2","b1","falsk-ven|asymmetrisk","audio/da-1a1c0730c833e2.mp3","audio/da-1a1c0730c833e2-ex.mp3"
"forgiftet","förgiftad","adj","Fisken var forgiftet af kemikalier.","Fisken var förgiftad av kemikalier.","Particip av 'at forgifte'. Använd detta, inte 'gift', när du menar förgiftad. 'gift' ensamt = gift (äktenskap) eller substantivet gift/toxin.","falske-venner-b2","b2","falsk-ven|asymmetrisk","audio/da-0ebeb85c68fa43.mp3","audio/da-0ebeb85c68fa43-ex.mp3"
"sovs","sås","noun","Der er for lidt sovs til kartoflerne.","Det är för lite sås till potatisen.","En-ord: 'en sovs'. Vanligaste ordet för sås. Förväxla inte med 'sky', som är den klara köttskyn/saften.","falske-venner-b2","b1","falsk-ven|stavning","audio/da-0952171bb1f75b.mp3","audio/da-0952171bb1f75b-ex.mp3"
"grineren","skoj, lattjo","phrase","Det var grineren, da han faldt i bassinet.","Det var skoj när han ramlade i bassängen.","Slang (av 'grine' = skratta): 'det var grineren' = det var skoj/lattjo. Inget med att grina/gråta att göra. Informellt.","falske-venner-b2","b2","falsk-ven|fras|asymmetrisk","audio/da-15d7f6c00f713c.mp3","audio/da-15d7f6c00f713c-ex.mp3"
"himmel","himmel","noun","Der er ikke en sky på himlen i dag.","Det finns inte ett moln på himlen i dag.","En-ord: 'en himmel'. Det här är ordet för svensk 'himmel'. Jämför 'sky' = moln (eller köttsky/blyg), inte himmel.","falske-venner-b2","b1","falsk-ven|omvänd","audio/da-157837d33de718.mp3","audio/da-157837d33de718-ex.mp3"
"dygtig","duktig, skicklig","adj","Hun er en dygtig håndværker.","Hon är en skicklig hantverkare.","Adjektiv. Ordet för svensk 'duktig/skicklig' och delvis 'flink' i betydelsen händig. Inte att förväxla med danska 'flink' = vänlig.","falske-venner-b2","b1","falsk-ven|asymmetrisk","audio/da-0d7e300cb86dc9.mp3","audio/da-0d7e300cb86dc9-ex.mp3"
